vehicle_color,size
WH,802840
GY,713834
BK,623161
BL,250306
WHITE,153359
RD,146638
BROWN,123308
BLACK,53844
GR,52405
TN,33876
GREY,31735
BR,26171
BLUE,21989
SILVE,17065
GL,16158
RED,14668
YW,14277
MR,13601
BLK,13003
OR,10412
GRAY,7893
LTG,5946
GRY,5594
LT/,4698
DK/,3965
GREEN,3921
OTHER,3782
WHT,3697
PR,2229
TAN,2069
DKG,1892
YELLO,1846
GOLD,1646
WT,1422
ORANG,1196
BLU,1104
DKB,1063
SIL,713
WH/,708
LTB,636
GY/,607
DKR,494
WHI,475
W,459
NOC,438
BRN,429
WHB,404
SILV,403
SL,359
PURPL,335
NO,290
B,284
GRN,283
GYB,267
RD/,267
BK/,251
RDW,249
WHG,236
GN,225
GRW,215
BLG,215
BL/,198
G,175
SLV,148
BLW,136
BRO,126
LTT,119
BN,117
BKG,114
LAVEN,94
BURG,92
LTGY,89
MAROO,89
WHTE,89
RDG,89
YELL,77
OTH,77
GLD,75
LT/GY,74
YEL,73
PK,65
BW,60
BRW,58
BEIGE,57
GD,55
BKW,55
GR/,50
BLCK,50
BLB,46
MAR,40
SLVR,40
SV,35
DK/GY,33
R,33
BRWN,33
BLA,30
BLAK,29
WHIT,28
DKP,26
SILVR,26
GRB,26
DKGY,25
BUR,23
GRG,23
GYG,20
DKM,19
BURGU,19
BROW,19
RDT,18
PINK,18
WTE,17
WHO,17
SIV,17
BLE,15
BLAC,15
PURP,14
BG,14
ORG,13
GRE,12
TNG,12
DKBL,11
PUR,11
S,11
GRT,10
GRA,10
BLN,10
Y,10
BKT,9
BIEGE,9
WHE,9
BLT,9
ORAN,8
GREN,8
DK/RD,8
ORA,8
TN/,8
YE,8
BRON,7
LTGR,7
LTP,7
BGE,7
BWN,7
DKRD,7
LTBL,7
TNR,7
YLW,7
DK/BL,7
RUST,6
MULTI,6
YL,6
PRB,6
LT/BL,6
BL/GY,6
GLB,5
BRT,5
MARON,5
DK/GR,5
LT/TN,5
LT/GR,5
GYT,5
B L,5
SLVE,4
NO CL,4
MRG,4
NOCL,4
TEAL,4
DKGR,4
BU,4
BY,4
BURGA,4
GEY,4
BLWH,4
BKL,4
SLIV,3
NLK,3
NAVY,3
MULT,3
GT,3
WTH,3
GYBK,3
BEI,3
COOPE,3
O,3
MA,3
LTTN,3
BUN,3
LTBK,3
LT,3
RE,3
BKJ,3
WJ,3
GARY,3
PRW,3
SLR,3
GOL,3
GAY,3
WHITW,3
BLGY,3
BLRD,3
ORN,3
BLEU,2
BUL,2
GM,2
LTBR,2
BLC,2
BUNG,2
WI,2
QGRY,2
M,2
ORY,2
WHBK,2
SI,2
BRG,2
WHTIE,2
WHBL,2
RGB,2
MN,2
YLL,2
ORAGE,2
B LK,2
LT/GL,2
ONG,2
WG,2
BLACJ,2
BX,2
GYBR,2
GO,2
GERY,2
BLACL,2
BGD,2
FRAY,2
GREE,2
DKW,2
GREU,2
BERG,2
DKGRE,2
SLI,2
BK/WH,2
BER,2
BJ,2
BE,2
LK,2
SISLV,1
SILR,1
TG,1
WHIYR,1
SILK,1
WHTEW,1
RDBK,1
XEN,1
RD/BK,1
WITHE,1
SLVER,1
RAY,1
SILER,1
YLLW,1
RAM,1
STIL,1
WHUTE,1
SVL,1
QUE,1
WHY,1
QT,1
WGITE,1
WGHIT,1
SUR,1
QGREY,1
QBLUE,1
WITE,1
QBL,1
Q,1
SLU,1
YELLW,1
SIKLV,1
WHITI,1
VKJ,1
VOLVO,1
TREY,1
TNBK,1
SC,1
WHGT,1
WJOTE,1
SK,1
SLB,1
REDGY,1
YG,1
WHGY,1
REDE,1
VT,1
WHHI,1
RED/G,1
YEKK,1
SILVC,1
YELW,1
WHHT,1
WHIE,1
SILBV,1
WHIOT,1
WEST,1
SLIVE,1
RDTN,1
WYH,1
SUBAR,1
.-,1
PURLE,1
BUG,1
BLV,1
BM,1
BOLAC,1
BOND,1
BORE,1
BRGY,1
BRIDG,1
BROM,1
BRONX,1
BRONZ,1
BRWON,1
BT,1
BUE,1
BUGN,1
DGR,1
BUICK,1
BULAR,1
BURGD,1
BURGY,1
BURH,1
BURLA,1
CAMO,1
CHAPM,1
CHERY,1
CHRY,1
COLOR,1
CR,1
DARK,1
BLUEG,1
BLP,1
BLKQ,1
BLKJ,1
/,1
2P210,1
B ACK,1
B ACL,1
B LUE,1
BAK,1
BALCK,1
BARG,1
BBRW,1
BCK,1
BECK,1
BEIG,1
BGNY,1
BIGE,1
BIU,1
BKACJ,1
BKBL,1
BKBR,1
BKRD,1
BL/GR,1
BLACD,1
BLACV,1
BLAKC,1
BLBR,1
BLCA,1
BLJK,1
BLKC,1
DARKP,1
DK/GL,1
PURL,1
ORESE,1
MACK,1
MARN,1
MAVOO,1
MAZ,1
MER,1
MEURY,1
MOR,1
MRN,1
N,1
NC,1
NVY,1
OG,1
OLD,1
ORGEN,1
DKTN,1
ORGNE,1
ORNAG,1
ORNGE,1
ORRD,1
ORWH,1
P,1
PL,1
PLE,1
PR/GY,1
PRPL,1
PRWH,1
PUPRL,1
PURE,1
LTM,1
LT/BK,1
LIME,1
LEX,1
EHT,1
FOUR,1
FY,1
GB,1
GEAY,1
GLN,1
GLU,1
GRAT,1
GRATY,1
GRAYT,1
GRBR,1
GRC,1
GREAY,1
GREEM,1
GRET,1
GRGY,1
GRU,1
GTY,1
GU,1
GW,1
GY/BL,1
GYR,1
GYRY,1
IRABG,1
ISUZI,1
.N,1
LBK,1
K,1
